feature,importance
REG_REGION_NOT_LIVE_REGION,0.001151484
NAME_EDUCATION_TYPE_Academic degree,0.0011442768
user_segment_Yes Bank_Uttar Pradesh_18-25,0.0011401147
NAME_INCOME_TYPE_Commercial associate,0.0011205032
LIVE_REGION_NOT_WORK_REGION,0.0011149942
user_segment_HDFC_Telangana_18-25,0.0011105132
user_segment_SBI_Delhi_36-45,0.0010871908
user_segment_Yes Bank_West Bengal_56+,0.001075913
user_segment_Axis_Rajasthan_46-55,0.0010659735
user_segment_IndusInd_Tamil Nadu_18-25,0.0010625592
NAME_TYPE_SUITE_Family,0.0010580816
user_segment_IndusInd_Karnataka_46-55,0.0010481271
user_segment_Kotak_Andhra Pradesh_26-35,0.0010464146
user_segment_PNB_Karnataka_36-45,0.0010453349
OCCUPATION_TYPE_Realty agents,0.0010403212
user_segment_Kotak_West Bengal_36-45,0.0010184741
user_segment_ICICI_West Bengal_56+,0.0010112682
user_segment_IndusInd_Uttar Pradesh_56+,0.0010088211
user_segment_Axis_Andhra Pradesh_26-35,0.0010030599
user_segment_Axis_Karnataka_46-55,0.0009946625
user_segment_Axis_West Bengal_46-55,0.0009865317
user_segment_Axis_Karnataka_26-35,0.0009724854
FLAG_OWN_REALTY_Y,0.0009723538
user_segment_Axis_Maharashtra_18-25,0.0009636547
user_segment_SBI_Karnataka_56+,0.00090203487
OCCUPATION_TYPE_IT staff,0.0009009568
user_segment_Yes Bank_Telangana_36-45,0.0008788769
user_segment_SBI_Telangana_26-35,0.00087482535
user_segment_IndusInd_Telangana_26-35,0.00086864067
user_segment_ICICI_Delhi_56+,0.0008524334
ORGANIZATION_TYPE_Industry: type 7,0.00084589457
ORGANIZATION_TYPE_Postal,0.0008279696
user_segment_SBI_Andhra Pradesh_36-45,0.0007879805
user_segment_SBI_West Bengal_26-35,0.0007771696
user_segment_ICICI_Gujarat_36-45,0.0007539037
user_segment_IndusInd_Andhra Pradesh_56+,0.00074460293
